from,to,distance_km,transport_mode,emissions_kgCO2e
AUS,QAT,11989.241908471078,air,81023.29681744755
JPN,SAU,9294.60255705187,air,62812.92408055654
JPN,MIA,12238.257993854337,air,82706.14752246761
JPN,MON,9872.782342261871,air,66720.26306900573
JPN,MAD,10707.659691871297,air,72362.36419766623
JPN,NED,9258.418247575619,air,62568.39051711604
JPN,MONZ,9616.96985756692,air,64991.48229743726
JPN,SIN,5039.1032884261285,air,34054.26002318378
JPN,USA_COT,10805.179056691606,air,73021.40006512188
JPN,USA_LVG,9177.572459890116,air,62022.0346839374
JPN,MEX,11587.729591336714,air,78309.87657825352
JPN,QAT,8004.42524045362,air,54093.905774985564
CHN,SAU,8085.896101361785,air,54644.485853002945
CHN,JPN,1464.1602217566847,air,9894.794778631676
CHN,MIA,13271.319776765988,air,89687.57905138456
CHN,MON,9325.948684119927,air,63024.76120728246
CHN,ESP,9823.652295707858,air,66388.2422143937
CHN,MAD,10255.172455142081,air,69304.45545185018
CHN,GBR,9197.237612251647,air,62154.931783596636
CHN,HUN,8327.103678402513,air,56274.56665864419
CHN,NED,8893.144203584678,air,60099.86852782525
CHN,MONZ,9081.163039969335,air,61370.49982411277
CHN,SIN,3805.154379164923,air,25715.23329439655
CHN,USA_COT,12021.058821218443,air,81238.31551379424
CHN,USA_LVG,10478.317828459965,air,70812.47188473245
CHN,MEX,12908.194617351712,air,87233.57922406288
CHN,QAT,6764.359403889678,air,45713.54085148645
MIA,SAU,11624.171414127515,air,78556.15041667374
MIA,MON,7880.808330791216,air,53258.502699487035
MIA,NED,7421.557768440976,air,50154.88739912412
MIA,MONZ,7954.648385768758,air,53757.513791025274
MIA,SIN,16967.533897406345,air,114666.59407867207
MIA,USA_COT,1791.5739031851688,air,12107.45643772537
